strategy,total_return,annual_return,max_drawdown,volatility,sharpe,observations,complete_years,mdd_no_worse_years,mdd_strictly_better_years,return_within_5pp_years,both_within_5pp_years,return_within_10pp_years,both_within_10pp_years,min_return_gap,median_return_gap,min_mdd_gap,median_mdd_gap,strict_eligible,strict_mdd_eligible,risk_first_eligible,entry_vix,severe_vix,normal_qqq_cap,severe_qqq_cap,exit_mode,pass_80pct_objective
neighbor,19.929908527400073,0.1719513937189272,-0.36525287271189966,0.18600721365468245,0.9464043117469648,4830,18,18,18,17,17,18,18,-0.05492961867480339,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.8,0.4,medium,True
neighbor,18.644808997736618,0.16808325673700764,-0.3871587165877879,0.18618099573533245,0.9279342693840275,4830,18,18,18,17,17,18,18,-0.067422229467764,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.8,0.45,fast,True
neighbor,19.923136708986284,0.17193160728248813,-0.3746174993822705,0.18664733164845698,0.9437024757764897,4830,18,18,18,17,17,18,18,-0.05162892601074587,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.8,0.45,medium,True
neighbor,18.37065897246397,0.1672270934275235,-0.3651922905976337,0.18525729190060475,0.9276852068048669,4830,18,18,18,17,17,18,18,-0.07506679562936203,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.85,0.35,fast,True
neighbor,20.02818970969463,0.17223787843219407,-0.3558308107800513,0.18579838414013564,0.9485801782546243,4830,18,18,18,17,17,18,18,-0.05822917669892491,-0.0037411280157342297,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.85,0.35,medium,True
neighbor,18.515478364036053,0.16768078120060137,-0.3740735145027311,0.18582975090985415,0.9274873693061966,4830,18,18,18,17,17,18,18,-0.07121237885832121,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.85,0.4,fast,True
neighbor,20.028275517930833,0.17223812800393556,-0.36484300568173855,0.1863466667222759,0.9463339881726179,4830,18,18,18,17,17,18,18,-0.05492961867480339,-0.0037411280157342297,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.85,0.4,medium,True
neighbor,18.654706280947803,0.16811395343943225,-0.3833079906526504,0.18649637836153213,0.9268225259388929,4830,18,18,18,17,17,18,18,-0.067422229467764,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.85,0.45,fast,True
neighbor,20.02147476132751,0.172218345129304,-0.37421366222270036,0.18698558516608282,0.9436433514387542,4830,18,18,18,17,17,18,18,-0.05162892601074587,-0.0037411280157342297,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.85,0.45,medium,True
neighbor,16.903062330694826,0.16243886364742455,-0.4212061785843979,0.18603985619404564,0.902469868466375,4830,18,18,18,17,17,18,18,-0.07506679562936203,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.75,0.35,fast,True
